date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-03-22,-74.0,-29.0,-81.0,-62.0,-38.0,18.0
2020-03-23,-63.0,-18.0,-66.0,-59.0,-46.0,20.0
2020-03-24,-72.0,-34.0,-68.0,-65.0,-55.0,23.0
2020-03-25,-71.0,-29.0,-66.0,-65.0,-55.0,23.0
2020-03-26,-70.0,-29.0,-62.0,-65.0,-54.0,24.0
2020-03-27,-65.0,-23.0,-61.0,-61.0,-50.0,24.0
2020-03-28,-69.0,-26.0,-67.0,-59.0,-42.0,19.0
2020-03-29,-72.0,-32.0,-74.0,-61.0,-37.0,17.0
2020-03-30,-64.0,-25.0,-64.0,-60.0,-47.0,20.0
2020-03-31,-64.0,-25.0,-61.0,-61.0,-50.0,21.0
2020-04-01,-62.0,-17.0,-61.0,-60.0,-50.0,21.0
2020-04-02,-63.0,-19.0,-59.0,-60.0,-49.0,22.0
2020-04-03,-61.0,-14.0,-69.0,-56.0,-47.0,22.0
2020-04-04,-64.0,-13.0,-73.0,-53.0,-38.0,17.0
2020-04-05,-69.0,-24.0,-78.0,-57.0,-35.0,16.0
2020-04-06,-57.0,-14.0,-67.0,-54.0,-44.0,19.0
2020-04-07,-59.0,-14.0,-67.0,-55.0,-48.0,20.0
2020-04-08,-59.0,-9.0,-72.0,-57.0,-49.0,20.0
2020-04-09,-54.0,7.0,-64.0,-53.0,-47.0,19.0
2020-04-10,-73.0,-27.0,-76.0,-70.0,-69.0,28.0
2020-04-11,-63.0,-10.0,-77.0,-54.0,-40.0,18.0
2020-04-12,-69.0,-21.0,-81.0,-56.0,-31.0,15.0
2020-04-13,-58.0,-21.0,-68.0,-55.0,-43.0,19.0
2020-04-14,-61.0,-25.0,-67.0,-57.0,-47.0,20.0
2020-04-15,-59.0,-17.0,-67.0,-57.0,-47.0,20.0
2020-04-16,-61.0,-19.0,-68.0,-58.0,-46.0,22.0
2020-04-17,-58.0,-14.0,-70.0,-55.0,-44.0,22.0
2020-04-18,-64.0,-18.0,-74.0,-53.0,-35.0,17.0
2020-04-19,-70.0,-25.0,-77.0,-58.0,-32.0,16.0
2020-04-20,-57.0,-15.0,-66.0,-55.0,-43.0,18.0
2020-04-21,-74.0,-41.0,-67.0,-72.0,-68.0,25.0
2020-04-22,-58.0,-12.0,-65.0,-55.0,-45.0,19.0
2020-04-23,-73.0,-36.0,-67.0,-71.0,-64.0,25.0
2020-04-24,-58.0,-15.0,-65.0,-55.0,-43.0,21.0
2020-04-25,-64.0,-18.0,-70.0,-53.0,-34.0,17.0
2020-04-26,-70.0,-26.0,-74.0,-58.0,-32.0,16.0
2020-04-27,-59.0,-20.0,-67.0,-55.0,-41.0,19.0
2020-04-28,-61.0,-23.0,-66.0,-57.0,-45.0,17.0
2020-04-29,-60.0,-18.0,-66.0,-57.0,-45.0,20.0
2020-04-30,-58.0,-6.0,-60.0,-54.0,-43.0,19.0
2020-05-01,-74.0,-32.0,-68.0,-71.0,-67.0,27.0
2020-05-02,-65.0,-13.0,-73.0,-54.0,-35.0,17.0
2020-05-03,-73.0,-26.0,-82.0,-61.0,-33.0,17.0
2020-05-04,-57.0,-10.0,-66.0,-53.0,-39.0,18.0
2020-05-05,-58.0,-13.0,-63.0,-54.0,-43.0,19.0
2020-05-06,-58.0,-7.0,-64.0,-53.0,-43.0,19.0
2020-05-07,-62.0,-10.0,-70.0,-58.0,-45.0,21.0
2020-05-08,-53.0,4.0,-65.0,-50.0,-39.0,20.0
2020-05-09,-57.0,7.0,-69.0,-45.0,-29.0,16.0
2020-05-10,-67.0,-6.0,-77.0,-51.0,-15.0,13.0
2020-05-11,-59.0,-17.0,-67.0,-54.0,-40.0,19.0
2020-05-12,-61.0,-19.0,-65.0,-56.0,-43.0,20.0
2020-05-13,-61.0,-17.0,-67.0,-56.0,-43.0,20.0
2020-05-14,-63.0,-20.0,-68.0,-58.0,-43.0,20.0
2020-05-15,-63.0,-16.0,-73.0,-58.0,-43.0,23.0
2020-05-16,-63.0,-12.0,-73.0,-51.0,-30.0,17.0
2020-05-17,-69.0,-20.0,-76.0,-56.0,-24.0,16.0
2020-05-18,-58.0,-15.0,-66.0,-54.0,-38.0,19.0
2020-05-19,-60.0,-19.0,-65.0,-55.0,-42.0,20.0
2020-05-20,-58.0,-11.0,-65.0,-54.0,-41.0,19.0
2020-05-21,-59.0,-12.0,-61.0,-54.0,-40.0,21.0
2020-05-22,-56.0,-8.0,-62.0,-51.0,-37.0,20.0
2020-05-23,-61.0,-10.0,-68.0,-48.0,-26.0,16.0
2020-05-24,-74.0,-26.0,-84.0,-61.0,-29.0,17.0
2020-05-25,-56.0,-11.0,-65.0,-52.0,-36.0,18.0
2020-05-26,-58.0,-15.0,-63.0,-53.0,-39.0,18.0
2020-05-27,-56.0,-9.0,-64.0,-52.0,-38.0,18.0
2020-05-28,-57.0,-9.0,-62.0,-52.0,-37.0,19.0
2020-05-29,-51.0,2.0,-60.0,-46.0,-33.0,18.0
2020-05-30,-56.0,-2.0,-65.0,-44.0,-20.0,12.0
2020-05-31,-65.0,-11.0,-69.0,-50.0,-15.0,12.0
2020-06-01,-52.0,-5.0,-61.0,-47.0,-32.0,15.0
2020-06-02,-53.0,-8.0,-59.0,-48.0,-35.0,17.0
2020-06-03,-52.0,-3.0,-60.0,-47.0,-35.0,17.0
2020-06-04,-53.0,-3.0,-59.0,-48.0,-34.0,18.0
2020-06-05,-45.0,9.0,-58.0,-41.0,-30.0,18.0
2020-06-06,-50.0,5.0,-62.0,-38.0,-17.0,13.0
2020-06-07,-62.0,-8.0,-71.0,-47.0,-14.0,13.0
2020-06-08,-46.0,0.0,-58.0,-42.0,-28.0,15.0
2020-06-09,-48.0,-6.0,-56.0,-45.0,-32.0,16.0
2020-06-10,-43.0,5.0,-55.0,-41.0,-31.0,15.0
2020-06-11,-59.0,-17.0,-50.0,-61.0,-55.0,22.0
2020-06-12,-35.0,14.0,-47.0,-39.0,-32.0,16.0
2020-06-13,-49.0,-5.0,-52.0,-40.0,-15.0,12.0
2020-06-14,-62.0,-15.0,-74.0,-49.0,-14.0,13.0
2020-06-15,-46.0,-6.0,-66.0,-46.0,-29.0,16.0
2020-06-16,-47.0,-8.0,-60.0,-45.0,-32.0,17.0
2020-06-17,-44.0,-3.0,-57.0,-43.0,-31.0,16.0
2020-06-18,-46.0,-5.0,-52.0,-44.0,-30.0,16.0
2020-06-19,-41.0,1.0,-52.0,-40.0,-26.0,16.0
2020-06-20,-46.0,-1.0,-52.0,-36.0,-11.0,11.0
2020-06-21,-54.0,-10.0,-54.0,-42.0,-7.0,11.0
2020-06-22,-44.0,-6.0,-53.0,-42.0,-27.0,15.0
2020-06-23,-45.0,-9.0,-51.0,-43.0,-31.0,16.0
2020-06-24,-45.0,-4.0,-53.0,-43.0,-30.0,15.0
2020-06-25,-45.0,-4.0,-49.0,-43.0,-28.0,16.0
2020-06-26,-41.0,1.0,-52.0,-38.0,-25.0,16.0
2020-06-27,-48.0,-2.0,-61.0,-38.0,-13.0,12.0
2020-06-28,-57.0,-10.0,-68.0,-45.0,-9.0,12.0
2020-06-29,-44.0,-6.0,-61.0,-42.0,-26.0,15.0
2020-06-30,-41.0,0.0,-52.0,-40.0,-28.0,15.0
2020-07-01,-40.0,5.0,-55.0,-40.0,-28.0,14.0
2020-07-02,-39.0,7.0,-51.0,-39.0,-26.0,15.0
2020-07-03,-33.0,12.0,-54.0,-34.0,-23.0,15.0
2020-07-04,-37.0,12.0,-57.0,-31.0,-9.0,10.0
2020-07-05,-45.0,2.0,-53.0,-36.0,-4.0,9.0
2020-07-06,-32.0,7.0,-48.0,-35.0,-23.0,12.0
2020-07-07,-33.0,6.0,-45.0,-34.0,-27.0,13.0
2020-07-08,-33.0,8.0,-46.0,-35.0,-25.0,12.0
2020-07-09,-37.0,5.0,-48.0,-37.0,-25.0,13.0
2020-07-10,-29.0,12.0,-49.0,-31.0,-21.0,13.0
2020-07-11,-33.0,9.0,-45.0,-27.0,-7.0,8.0
2020-07-12,-44.0,-2.0,-48.0,-34.0,-4.0,8.0
2020-07-13,-33.0,1.0,-46.0,-35.0,-22.0,11.0
2020-07-14,-40.0,-8.0,-59.0,-41.0,-28.0,15.0
2020-07-15,-38.0,1.0,-62.0,-42.0,-27.0,15.0
2020-07-16,-36.0,3.0,-51.0,-38.0,-24.0,14.0
2020-07-17,-28.0,8.0,-45.0,-31.0,-21.0,14.0
2020-07-18,-32.0,7.0,-44.0,-27.0,-6.0,9.0
2020-07-19,-41.0,-3.0,-43.0,-34.0,-3.0,8.0
2020-07-20,-31.0,3.0,-44.0,-33.0,-21.0,12.0
2020-07-21,-34.0,-3.0,-40.0,-36.0,-25.0,13.0
2020-07-22,-33.0,3.0,-42.0,-35.0,-23.0,12.0
2020-07-23,-34.0,2.0,-36.0,-35.0,-22.0,13.0
2020-07-24,-27.0,9.0,-36.0,-29.0,-18.0,12.0
2020-07-25,-30.0,7.0,-30.0,-25.0,-6.0,8.0
2020-07-26,-39.0,0.0,-39.0,-31.0,-3.0,8.0
2020-07-27,-31.0,3.0,-41.0,-33.0,-20.0,11.0
2020-07-28,-34.0,-1.0,-35.0,-34.0,-24.0,12.0
2020-07-29,-35.0,2.0,-53.0,-37.0,-25.0,13.0
2020-07-30,-43.0,-6.0,-61.0,-43.0,-27.0,15.0
2020-07-31,-26.0,15.0,-50.0,-30.0,-20.0,13.0
2020-08-01,-27.0,15.0,-45.0,-25.0,-5.0,9.0
2020-08-02,-35.0,6.0,-41.0,-30.0,-3.0,8.0
2020-08-03,-26.0,10.0,-42.0,-29.0,-19.0,11.0
2020-08-04,-28.0,6.0,-38.0,-31.0,-23.0,12.0
2020-08-05,-25.0,13.0,-39.0,-30.0,-21.0,11.0
2020-08-06,-26.0,14.0,-32.0,-29.0,-20.0,11.0
2020-08-07,-15.0,23.0,-32.0,-20.0,-16.0,10.0
2020-08-08,-16.0,27.0,-29.0,-14.0,-3.0,6.0
2020-08-09,-36.0,14.0,-44.0,-21.0,7.0,4.0
2020-08-10,-25.0,8.0,-37.0,-28.0,-18.0,10.0
2020-08-11,-28.0,2.0,-32.0,-30.0,-22.0,11.0
2020-08-12,-27.0,7.0,-36.0,-31.0,-21.0,11.0
2020-08-13,-29.0,6.0,-29.0,-31.0,-20.0,12.0
2020-08-14,-19.0,14.0,-27.0,-23.0,-16.0,10.0
2020-08-15,-24.0,11.0,-24.0,-20.0,-5.0,7.0
2020-08-16,-37.0,2.0,-49.0,-31.0,-6.0,8.0
2020-08-17,-28.0,5.0,-44.0,-29.0,-18.0,10.0
2020-08-18,-30.0,2.0,-39.0,-31.0,-20.0,11.0
2020-08-19,-28.0,7.0,-38.0,-31.0,-19.0,10.0
2020-08-20,-34.0,4.0,-50.0,-34.0,-20.0,12.0
2020-08-21,-33.0,3.0,-58.0,-33.0,-20.0,14.0
2020-08-22,-41.0,-2.0,-69.0,-39.0,-14.0,12.0
2020-08-23,-40.0,-1.0,-58.0,-35.0,-5.0,10.0
2020-08-24,-29.0,6.0,-48.0,-30.0,-16.0,11.0
2020-08-25,-30.0,4.0,-43.0,-31.0,-20.0,11.0
2020-08-26,-29.0,7.0,-45.0,-31.0,-18.0,11.0
2020-08-27,-29.0,8.0,-35.0,-30.0,-16.0,11.0
2020-08-28,-19.0,15.0,-29.0,-23.0,-13.0,10.0
2020-08-29,-23.0,12.0,-24.0,-19.0,-2.0,6.0
2020-08-30,-30.0,6.0,-19.0,-22.0,-1.0,5.0
2020-08-31,-27.0,10.0,-41.0,-28.0,-15.0,9.0
2020-09-01,-28.0,9.0,-39.0,-29.0,-19.0,10.0
2020-09-02,-25.0,14.0,-38.0,-28.0,-17.0,9.0
2020-09-03,-25.0,14.0,-26.0,-26.0,-16.0,9.0
2020-09-04,-14.0,22.0,-20.0,-17.0,-13.0,8.0
2020-09-05,-16.0,22.0,-10.0,-12.0,-3.0,4.0
2020-09-06,-22.0,18.0,7.0,-18.0,-2.0,4.0
2020-09-07,-42.0,-13.0,19.0,-50.0,-60.0,12.0
2020-09-08,-24.0,11.0,-28.0,-23.0,-19.0,7.0
2020-09-09,-24.0,15.0,-35.0,-26.0,-17.0,8.0
2020-09-10,-24.0,14.0,-25.0,-25.0,-15.0,9.0
2020-09-11,-16.0,17.0,-23.0,-19.0,-13.0,9.0
2020-09-12,-19.0,14.0,-15.0,-15.0,-2.0,5.0
2020-09-13,-28.0,7.0,-14.0,-19.0,-1.0,5.0
2020-09-14,-24.0,10.0,-24.0,-24.0,-12.0,8.0
2020-09-15,-29.0,5.0,-40.0,-29.0,-17.0,11.0
2020-09-16,-25.0,10.0,-32.0,-27.0,-16.0,10.0
2020-09-17,-27.0,8.0,-24.0,-28.0,-14.0,10.0
2020-09-18,-18.0,14.0,-22.0,-22.0,-11.0,9.0
2020-09-19,-22.0,12.0,-23.0,-18.0,-2.0,6.0
2020-09-20,-41.0,-3.0,-60.0,-35.0,-7.0,9.0
2020-09-21,-30.0,6.0,-49.0,-29.0,-15.0,11.0
2020-09-22,-51.0,-20.0,-65.0,-44.0,-27.0,16.0
2020-09-23,-33.0,13.0,-50.0,-32.0,-17.0,12.0
2020-09-24,-31.0,11.0,-38.0,-28.0,-14.0,11.0
2020-09-25,-22.0,18.0,-30.0,-22.0,-11.0,10.0
2020-09-26,-26.0,13.0,-24.0,-18.0,0.0,6.0
2020-09-27,-33.0,5.0,-19.0,-19.0,1.0,5.0
2020-09-28,-32.0,9.0,-33.0,-27.0,-12.0,9.0
2020-09-29,-32.0,7.0,-40.0,-28.0,-16.0,10.0
2020-09-30,-27.0,18.0,-33.0,-26.0,-14.0,8.0
2020-10-01,-28.0,19.0,-25.0,-26.0,-11.0,9.0
2020-10-02,-18.0,21.0,-14.0,-12.0,-9.0,7.0
2020-10-03,-22.0,18.0,-25.0,-7.0,0.0,4.0
2020-10-04,-36.0,8.0,-56.0,-18.0,-3.0,7.0
2020-10-05,-24.0,18.0,-38.0,-16.0,-11.0,7.0
2020-10-06,-25.0,14.0,-29.0,-17.0,-15.0,8.0
2020-10-07,-22.0,22.0,-35.0,-17.0,-12.0,7.0
2020-10-08,-25.0,19.0,-38.0,-19.0,-12.0,9.0
2020-10-09,-18.0,22.0,-37.0,-12.0,-9.0,9.0
2020-10-10,-16.0,24.0,-33.0,-4.0,1.0,5.0
2020-10-11,-20.0,21.0,-20.0,-8.0,5.0,6.0
2020-10-12,-30.0,-4.0,9.0,-42.0,-56.0,12.0
2020-10-13,-25.0,12.0,-29.0,-15.0,-14.0,7.0
2020-10-14,-25.0,16.0,-36.0,-17.0,-13.0,9.0
2020-10-15,-26.0,18.0,-36.0,-18.0,-13.0,10.0
2020-10-16,-20.0,21.0,-39.0,-13.0,-9.0,10.0
2020-10-17,-19.0,21.0,-28.0,-4.0,3.0,6.0
2020-10-18,-26.0,15.0,-28.0,-7.0,3.0,6.0
2020-10-19,-43.0,-23.0,-26.0,-32.0,-29.0,12.0
2020-10-20,-23.0,22.0,-29.0,-13.0,-12.0,8.0
2020-10-21,-24.0,20.0,-32.0,-15.0,-11.0,8.0
2020-10-22,-25.0,18.0,-28.0,-16.0,-9.0,9.0
2020-10-23,-15.0,23.0,-19.0,-9.0,-6.0,8.0
2020-10-24,-24.0,15.0,-35.0,-6.0,2.0,6.0
2020-10-25,-30.0,11.0,-40.0,-11.0,2.0,7.0
2020-10-26,-25.0,16.0,-35.0,-15.0,-8.0,8.0
2020-10-27,-26.0,12.0,-26.0,-15.0,-12.0,9.0
2020-10-28,-24.0,15.0,-27.0,-16.0,-11.0,8.0
2020-10-29,-26.0,14.0,-28.0,-17.0,-9.0,8.0
2020-10-30,-26.0,15.0,-49.0,-17.0,-13.0,11.0
2020-10-31,-25.0,20.0,-50.0,-13.0,0.0,7.0
2020-11-01,-31.0,15.0,-51.0,-20.0,-1.0,8.0
2020-11-02,-44.0,-11.0,-20.0,-50.0,-57.0,16.0
2020-11-03,-26.0,14.0,-39.0,-14.0,-11.0,8.0
2020-11-04,-23.0,22.0,-42.0,-17.0,-10.0,9.0
2020-11-05,-25.0,19.0,-39.0,-18.0,-8.0,9.0
2020-11-06,-12.0,29.0,-31.0,-10.0,-5.0,8.0
2020-11-07,-12.0,25.0,-26.0,0.0,6.0,4.0
2020-11-08,-24.0,15.0,-38.0,-7.0,5.0,5.0
2020-11-09,-20.0,22.0,-38.0,-13.0,-7.0,7.0
2020-11-10,-23.0,16.0,-37.0,-15.0,-11.0,8.0
2020-11-11,-23.0,17.0,-40.0,-17.0,-10.0,8.0
2020-11-12,-24.0,14.0,-36.0,-18.0,-9.0,9.0
2020-11-13,-13.0,24.0,-31.0,-10.0,-5.0,8.0
2020-11-14,-13.0,21.0,-30.0,-1.0,7.0,4.0
2020-11-15,-6.0,49.0,-15.0,33.0,17.0,1.0
2020-11-16,-25.0,12.0,-33.0,-17.0,-9.0,8.0
2020-11-17,-26.0,10.0,-37.0,-18.0,-11.0,9.0
2020-11-18,-28.0,11.0,-52.0,-22.0,-13.0,10.0
2020-11-19,-24.0,17.0,-45.0,-17.0,-10.0,9.0
2020-11-20,-38.0,0.0,-48.0,-45.0,-49.0,18.0
2020-11-21,-17.0,17.0,-31.0,-10.0,0.0,6.0
2020-11-22,-29.0,6.0,-46.0,-14.0,1.0,6.0
2020-11-23,-22.0,16.0,-42.0,-16.0,-7.0,8.0
2020-11-24,-24.0,11.0,-38.0,-18.0,-11.0,9.0
2020-11-25,-22.0,18.0,-37.0,-18.0,-10.0,8.0
2020-11-26,-22.0,17.0,-26.0,-17.0,-8.0,8.0
2020-11-27,-7.0,30.0,-22.0,-9.0,-5.0,7.0
2020-11-28,-13.0,21.0,-18.0,-2.0,6.0,4.0
2020-11-29,-13.0,36.0,-11.0,17.0,9.0,2.0
2020-11-30,-19.0,22.0,-27.0,-14.0,-7.0,7.0
2020-12-01,-22.0,17.0,-34.0,-17.0,-11.0,8.0
2020-12-02,-18.0,25.0,-38.0,-16.0,-9.0,8.0
2020-12-03,-19.0,21.0,-29.0,-16.0,-7.0,8.0
2020-12-04,-9.0,28.0,-24.0,-9.0,-5.0,7.0
2020-12-05,-14.0,22.0,-38.0,-4.0,5.0,5.0
2020-12-06,-25.0,16.0,-57.0,-15.0,1.0,7.0
2020-12-07,-22.0,18.0,-52.0,-20.0,-11.0,9.0
2020-12-08,-20.0,17.0,-41.0,-17.0,-12.0,9.0
2020-12-09,-21.0,18.0,-43.0,-19.0,-10.0,9.0
2020-12-10,-22.0,20.0,-37.0,-18.0,-9.0,9.0
2020-12-11,-13.0,23.0,-33.0,-11.0,-5.0,8.0
2020-12-12,-15.0,19.0,-31.0,-3.0,7.0,5.0
2020-12-13,-23.0,12.0,-39.0,-10.0,5.0,6.0
2020-12-14,-17.0,20.0,-31.0,-14.0,-6.0,7.0
2020-12-15,-18.0,18.0,-26.0,-14.0,-10.0,7.0
2020-12-16,-16.0,22.0,-29.0,-14.0,-9.0,7.0
2020-12-17,-17.0,23.0,-27.0,-14.0,-7.0,8.0
2020-12-18,-7.0,28.0,-24.0,-6.0,-4.0,7.0
2020-12-19,-8.0,26.0,-20.0,5.0,9.0,4.0
2020-12-20,-13.0,27.0,-16.0,3.0,15.0,4.0
2020-12-21,-5.0,36.0,-21.0,-8.0,-6.0,5.0
2020-12-22,-14.0,26.0,-40.0,-13.0,-13.0,7.0
2020-12-23,-3.0,61.0,-39.0,-8.0,-12.0,5.0
2020-12-24,-32.0,45.0,-46.0,-34.0,-37.0,12.0
2020-12-25,-80.0,-72.0,-61.0,-69.0,-71.0,19.0
2020-12-26,-31.0,3.0,-31.0,-24.0,-11.0,9.0
2020-12-27,-40.0,-5.0,-55.0,-28.0,-3.0,10.0
2020-12-28,-17.0,24.0,-29.0,-21.0,-13.0,10.0
2020-12-29,-19.0,22.0,-19.0,-22.0,-18.0,9.0
2020-12-30,-10.0,53.0,-3.0,-17.0,-16.0,7.0
2020-12-31,-37.0,46.0,16.0,-37.0,-40.0,11.0
